00:15:00.423 [http-nio-8081-exec-1] INFO  i.g.g.L.crawler.v1.LCKGameCrawler - ------------------
00:15:02.029 [http-nio-8081-exec-1] INFO  i.g.g.L.crawler.v1.LCKGameCrawler - ------------------
00:15:03.560 [http-nio-8081-exec-1] INFO  i.g.g.L.crawler.v1.LCKGameCrawler - ------------------
00:15:05.201 [http-nio-8081-exec-1] INFO  i.g.g.L.crawler.v1.LCKGameCrawler - ------------------
00:15:06.738 [http-nio-8081-exec-1] INFO  i.g.g.L.crawler.v1.LCKGameCrawler - ------------------
00:15:08.310 [http-nio-8081-exec-1] INFO  i.g.g.L.crawler.v1.LCKGameCrawler - ------------------
00:15:09.913 [http-nio-8081-exec-1] INFO  i.g.g.L.crawler.v1.LCKGameCrawler - ------------------
00:15:11.447 [http-nio-8081-exec-1] INFO  i.g.g.L.crawler.v1.LCKGameCrawler - ------------------
00:15:12.983 [http-nio-8081-exec-1] INFO  i.g.g.L.crawler.v1.LCKGameCrawler - ------------------
00:15:14.517 [http-nio-8081-exec-1] INFO  i.g.g.L.crawler.v1.LCKGameCrawler - ------------------
00:15:16.070 [http-nio-8081-exec-1] INFO  i.g.g.L.crawler.v1.LCKGameCrawler - ------------------
00:15:17.694 [http-nio-8081-exec-1] INFO  i.g.g.L.crawler.v1.LCKGameCrawler - ------------------
00:15:19.231 [http-nio-8081-exec-1] INFO  i.g.g.L.crawler.v1.LCKGameCrawler - ------------------
00:15:20.738 [http-nio-8081-exec-1] INFO  i.g.g.L.crawler.v1.LCKGameCrawler - ------------------
00:15:22.297 [http-nio-8081-exec-1] INFO  i.g.g.L.crawler.v1.LCKGameCrawler - ------------------
00:15:23.833 [http-nio-8081-exec-1] INFO  i.g.g.L.crawler.v1.LCKGameCrawler - ------------------
00:15:25.578 [http-nio-8081-exec-1] INFO  i.g.g.L.crawler.v1.LCKGameCrawler - ------------------
00:15:26.341 [SpringApplicationShutdownHook] INFO  o.s.c.s.DefaultLifecycleProcessor - Shutdown phase 2147482623 ends with 1 bean still running after timeout of 30000ms: [webServerGracefulShutdown]
00:15:26.394 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown aborted with one or more requests still active
00:16:46.816 [main] INFO  i.g.g.L.LcKonnectIngestorApplication - Starting LcKonnectIngestorApplication using Java 21.0.2 with PID 9527 (/Users/gyuyoungpark/Desktop/project/LCKonnect-Ingestor/build/classes/java/main started by gyuyoungpark in /Users/gyuyoungpark/Desktop/project/LCKonnect-Ingestor)
00:16:46.817 [main] INFO  i.g.g.L.LcKonnectIngestorApplication - No active profile set, falling back to 1 default profile: "default"
00:16:47.106 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
00:16:47.107 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
00:16:47.122 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
00:16:47.298 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
00:16:47.305 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
00:16:47.306 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
00:16:47.307 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.41]
